ID	Long93_Cor	Lat93_Cor	D_Canop_M
E_49_O	417115,600	6416569,699	5,15
E_49_K	417111,916	6416585,071	4,2
E_49_I	417110,284	6416592,452	5,8
E_49_G	417107,759	6416600,057	6,45
E_49_E	417106,257	6416608,480	2,8
E_49_C	417103,294	6416616,077	2,35
E_48_B	417095,312	6416617,864	3,95
E_48_D	417098,043	6416610,569	3,95
E_48_F	417099,558	6416602,522	6,6
E_48_H	417101,233	6416594,846	5,8
E_48_J	417103,339	6416586,910	1,85
E_48_L	417105,976	6416579,181	3,95
E_48_P	417109,812	6416563,253	3,6
E_48_R	417110,912	6416556,087	5
E_48_T	417112,862	6416548,438	3,6
E_47_S	417106,000	6416552,590	5,55
E_47_C	417090,033	6416611,931	7,4
E_47_A	417088,492	6416620,942	5,55
E_46_B	417082,991	6416614,217	5,05
E_46_J	417090,465	6416583,588	4,55
E_46_N	417094,256	6416569,060	6,1
E_46_R	417098,594	6416553,310	5,55
E_46_T	417100,128	6416545,235	4
E_45_I	417082,354	6416585,961	5,7
E_45_C	417077,249	6416608,826	5,4
E_45_A	417074,817	6416616,689	4,6
E_44_D	417071,287	6416603,601	4,55
E_44_H	417074,997	6416588,238	6,25
E_44_R	417085,194	6416548,946	4,4
E_44_T	417086,200	6416541,301	5,8
E_43_S	417078,428	6416543,569	3,1
E_43_Q	417077,825	6416551,028	4,5
E_43_O	417075,672	6416558,668	5,5
E_43_M	417073,503	6416566,553	4,85
E_43_G	417067,636	6416590,380	5,1
E_43_E	417065,347	6416597,211	4,85
E_43_C	417063,959	6416604,915	5,1
E_43_A	417061,620	6416612,692	2,15
E_42_B	417055,951	6416608,169	7,65
E_42_D	417057,480	6416599,983	2,7
E_42_F	417059,440	6416592,555	5,6
E_42_H	417061,705	6416584,892	4,4
E_42_J	417063,560	6416576,914	4,85
E_42_L	417066,101	6416568,348	4,8
E_41_Q	417063,619	6416548,086	4,85
E_41_O	417060,156	6416555,013	3,75
E_41_M	417059,777	6416563,542	5,6
E_41_I	417056,232	6416578,824	4,2
E_41_G	417053,854	6416586,360	6
E_41_E	417051,627	6416593,345	5,85
E_41_C	417049,678	6416601,513	7,05
E_41_A	417046,819	6416610,464	3,15
E_40_B	417042,493	6416603,784	4,2
E_40_F	417046,418	6416588,254	1,7
E_40_H	417048,703	6416581,034	0
E_40_J	417050,752	6416573,825	3,85
E_40_P	417055,691	6416549,334	3,35
E_40_R	417058,389	6416542,109	2,4
E_40_T	417060,347	6416533,836	4,55
E_39_S	417052,064	6416536,132	1,5
E_39_Q	417050,213	6416543,576	3,75
E_39_O	417047,057	6416552,837	4,3
E_39_K	417044,546	6416567,752	1,85
E_39_G	417039,948	6416582,931	3,95
E_39_E	417038,816	6416589,999	3,3
E_39_C	417037,522	6416598,783	6,8
E_39_A	417033,759	6416606,247	4,25
E_38_B	417028,298	6416600,747	1,5
E_38_F	417032,781	6416585,532	5,45
E_38_L	417038,790	6416562,838	3,9
E_38_N	417040,237	6416553,917	0,95
E_38_R	417044,970	6416538,450	4,45
E_38_T	417046,110	6416530,468	2,8
E_37_S	417038,699	6416533,213	4,3
E_37_Q	417036,624	6416540,369	3,65
E_37_E	417023,620	6416588,987	3,15
E_37_C	417023,974	6416594,619	4,6
E_37_A	417019,496	6416603,194	4,9
E_36_F	417019,278	6416581,436	2,4
E_36_P	417029,061	6416542,980	2,9
E_36_T	417033,792	6416526,501	3,45
E_35_U	417026,579	6416522,089	3,7
E_35_K	417016,976	6416559,420	3,05
E_35_I	417015,630	6416568,607	6,2
E_35_G	417013,647	6416575,166	6
E_35_E	417011,043	6416583,344	4,75
E_35_C	417008,750	6416592,248	6
E_35_A	417007,101	6416599,519	6,25
E_34_D	417002,906	6416586,463	4,1
E_34_F	417005,378	6416578,612	5,15
E_34_H	417007,577	6416570,779	4,65
E_34_J	417009,833	6416563,424	4,35
E_34_R	417017,405	6416531,338	3,1
E_34_T	417019,368	6416523,354	4,95
