Tree \ Buffer radius (m)	2.5	5.0	7.5	10.0	12.5	15.0	17.5	20.0	22.5	25.0	27.5	30.0	32.5	35.0	37.5	40.0	42.5	45.0	47.5	50.0
A_66_Qs	0.0	9.14	107.31	244.76	421.47	637.46	892.71	1175.84	1454.33	1765.4	2128.28	2543.63	3006.98	3492.91	4016.61	4595.81	5202.69	5848.16	6545.05	7308.43
A_60_Qs	0.0	43.75	128.31	240.78	387.29	567.36	793.15	1064.81	1377.72	1727.49	2117.91	2545.77	3003.35	3525.84	4094.62	4688.72	5305.11	5961.22	6669.95	7407.47
A_58_Os	0.0	0.0	66.42	193.19	353.48	561.83	816.51	1094.02	1397.39	1743.61	2142.91	2593.95	3075.9	3593.28	4135.56	4718.81	5333.75	6001.39	6703.91	7437.56
Vigne_1	0.0	5.69	85.41	220.45	397.17	613.15	868.41	1162.93	1496.72	1869.79	2282.12	2733.73	3224.6	3754.74	4324.16	4932.84	5580.79	6268.02	6994.51	7760.27
Vigne_2	0.0	23.07	94.95	220.45	397.17	613.15	868.41	1162.93	1496.72	1869.79	2282.12	2733.73	3224.6	3754.74	4324.16	4932.84	5580.79	6268.02	6994.51	7760.27
E_82_K	7.99	66.89	163.01	289.4	445.58	614.17	814.25	1078.15	1379.67	1720.16	2105.56	2527.98	2989.77	3513.89	4060.61	4649.54	5270.92	5912.73	6598.09	7338.07
E_82_M	3.73	49.68	112.71	204.23	351.02	528.56	746.47	1034.04	1337.13	1695.79	2106.29	2526.08	2994.75	3516.56	4060.2	4652.86	5293.55	5956.49	6643.23	7381.86
E_82_O	0.0	30.44	89.61	184.05	334.63	513.45	715.6	1000.44	1329.24	1697.07	2104.39	2546.18	3026.68	3529.81	4060.15	4655.03	5286.37	5952.69	6668.14	7416.85
E_82_Q	0.0	50.73	126.95	219.69	360.35	536.07	753.39	1035.02	1351.75	1704.31	2111.2	2551.35	3036.41	3556.11	4093.91	4680.45	5292.37	5951.98	6678.48	7435.24
E_82_S	7.99	63.09	136.22	251.84	427.85	629.35	848.18	1104.71	1394.04	1745.96	2143.52	2573.98	3045.74	3559.54	4115.6	4711.15	5314.58	5978.11	6700.87	7443.08
